title,artists,genres
Nothing On Me (Prod. by @BeatsByNav),nav,"canadian hip hop, canadian trap, melodic rap, rap, toronto rap, trap"
Pablo,"kanye west, travis scott, future","chicago rap, hip hop, rap"
ACTOR PROD GLORYTEE,sgpwes,pluggnb
aint gon go!,prynce,
THE SYRUP SOOTHEZ ME (prod. 4192),texakotyler,
4 Files Lost,ken carson,
poorshot_,"knxlwedge, knxwledge","abstract beats, alternative hip hop, indie hip hop, indie soul, wonky"
drugz,lil peep,"cloud rap, emo rap, lgbtq+ hip hop"
Ron Artest,babyface ray,"detroit hip hop, detroit trap"
pain w/ slug christ (prod. nedarb),slug christ,
All the Girls <3,"tony schnow, tony shhnow, popstar benny","dark plugg, pluggnb, plugg, vapor trap"
faded,slump6s,pluggnb
Presidential,slump6s,pluggnb
KENC&BOAT,"ken carson, lil yachty","atl hip hop, melodic rap, rap, trap"
a minute,destroy lonely,
by the law,piika,
Come Outside,ken carson,
Surrounded (feat Slump6s),sgpwes,pluggnb
Commas,slump6s,pluggnb
skeleton,playboi carti,"atl hip hop, plugg, pluggnb, rap"
children,slump6s,pluggnb
Toy Barn,sematary,cloud rap
Gout,joeyy,cloud rap
Blood Fyah (produced by babatobi duwopxo),duwap kaine,"dark plugg, pluggnb, vapor trap"
Elfen lied 222,"hi-c, hic","chicago bop, cloud rap, glitchcore, plugg, sigilkore"
catch up wit u!,autumn!,"emoplugg, glitchcore, plugg, pluggnb"
State Patrol,duwap kaine,"dark plugg, pluggnb, vapor trap"
I Serve the Base,future,"atl hip hop, hip hop, rap, southern hip hop, trap"
4 Morant,doja cat,"dance pop, pop"
red drop shawty,"lil peep, kirblagoop","cloud rap, emo rap, lgbtq+ hip hop"
no religion (prod. teegup x desmos),piika,
Play Wit It,duwap kaine,"dark plugg, pluggnb, vapor trap"
1 way (prove me right </3)prod. @fuckoxy1,lucki,plugg
Juice,chance the rapper,"chicago rap, conscious hip hop, hip hop, pop rap, rap"
caught up p. jankdivine,surge,
love lights (prod. danny wolf),"yunggoth, yunggoth✰","cloud rap, dark trap, emo rap"
TURNINUP,"destroylonely, destroy lonely",
Split Remix,yeat,pluggnb
Wheres The Blow!,ski mask the slump god,"hip hop, miami hip hop, rap, underground hip hop"
used2it prod natecxo,slump6s,pluggnb
Tony Montana,"kanii, kkanii",
We On It (feat. Dboylo),rowdy rebel,['nyc rap']
up / big tonka rmx,slump6s archive,
Without U (Prod. Greaf),spooky black,['cloud rap']
Work (prod. rocco noah) #ONE,"1of1 soldier, 1of1soldier",
loved me (prod. lilskys),yunggoth✰,"cloud rap, dark trap, emo rap"
veins (prod. greaf),lil peep,"cloud rap, emo rap, lgbtq+ hip hop"
WALKED IN (PROD. SAURON),eem triplin,
wont be long (prod. fantom),piika,
yuh/ still 2 the bank i laugh (all platforms),coolersrvnge,
Whole Thang (Prod. By Chris Fresh),unotheactivist,"melodic rap, plugg, vapor trap"
Y NOT FREESTYLE,tony shhnow,"dark plugg, pluggnb, plugg, vapor trap"
You Can Feel (Kering),14vvs,
We Got Glocks Out prod. 30nickk,kankan,pluggnb
VAmPStR Hi-c- M0lliwh0PiN XD (bay area Freeverse),"hi-c, hic","chicago bop, cloud rap, glitchcore, plugg, sigilkore"
Uh Huh Prod XanGang,kankan,pluggnb
WHAT THE FUCK RIGHT NOW,"tyler, tyler the creator, the creator, a$ap rocky, asap rocky","east coast hip hop, hip hop, rap, trap"
You > Them (Hate It!) (prod. Twinuzis),"autumn!, autumn twinuzis","emoplugg, pluggnb, plugg, glitchcore"
Trisiana Feat Summrs (Prod. Wifi & Yetii),kankan,pluggnb
Weather W/ KanKan (Prod. Zayskillz & Bhristo),"macten, kankan",pluggnb
WingRiddenAngel (Prod. Kellbender),xxxtentacion,"emo rap, miami hip hop"
Culture Shock,"clams casino, death grips","cloud rap, experimental hip hop, psychedelic hip hop, wonky"
TERMINAL RELATIONS,makai alexander,
Outchea,playboi carti,"atl hip hop, plugg, pluggnb, rap"
Walk  In,rich amiri,
kankan  fraud (prod arena),"kankan, @prodarena_",pluggnb
Kankan  Might Be (w/ Arena & Cashheart),"2sided, kankan",pluggnb
Summrs  Imagine (prod. Lj),"summrs, lj","plugg, glitchcore"
SoFaygo  Go (prod. Its2Ezzy),"sofaygo, elite leaks","plugg, glitchcore"
Aint Missing  Prod XanGang,kankan,pluggnb
