title,artists,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Sofaygo Titan prod polack,"polack, sofaygo","plugg, glitchcore",0.5527668595314026,0.3503298759460449,4.098033428192139,-6.78788948059082,0.3528527021408081,0.18451987206935883,0.17131467163562775,0.23715606331825256,0.046795159578323364,0.3517161011695862,96.59256744384766,2.9346916675567627
obsession 4 rick prod me,"tana, bana (fuck the rules)",hyperpop francais,0.5281161069869995,0.3992956876754761,4.208893299102783,-6.643136024475098,0.3489169478416443,0.18568940460681915,0.11532194912433624,0.21533508598804474,0.051113251596689224,0.3029586672782898,99.42008209228516,3.055642604827881
Hydrocodone,"naitourufu, black kray","cloud rap, plugg, pluggnb",0.5553576946258545,0.3873894512653351,4.54390811920166,-7.644763946533203,0.45201820135116577,0.19814713299274445,0.1472114473581314,0.24696263670921326,0.05955464020371437,0.32632750272750854,103.6068115234375,3.2946386337280273
Fuck The Streets,duwap kaine,"dark plugg, pluggnb, vapor trap",0.5147196650505066,0.3266863524913788,4.174590110778809,-6.776956558227539,0.38911229372024536,0.189550518989563,0.18721997737884521,0.22959913313388824,0.05585111305117607,0.35410404205322266,94.41598510742188,2.926734685897827
Racin (prod. Gianni),"kankan archive, kankan",pluggnb,0.5599473118782043,0.3542219400405884,4.569843769073486,-7.293425559997559,0.3957778513431549,0.1895904839038849,0.13042251765727997,0.24460169672966003,0.009313215501606464,0.3215526342391968,103.65381622314453,3.1389474868774414
Shawty In Love,playboi carti,"atl hip hop, plugg, pluggnb, rap",0.6072760224342346,0.39921504259109497,4.740185260772705,-7.692242622375488,0.41302862763404846,0.2042045295238495,0.15655338764190674,0.2516855299472809,0.039074432104825974,0.352327823638916,110.86399841308594,3.3533568382263184
stuck,ken carson,,0.43684205412864685,0.27396851778030396,3.5478463172912598,-5.460102081298828,0.28474506735801697,0.15078888833522797,0.11142332851886749,0.17784197628498077,0.032503895461559296,0.2505751848220825,81.27577209472656,2.4300973415374756
No Time,sofaygo,"glitchcore, plugg",0.523349940776825,0.4034332036972046,4.2758073806762695,-6.599493026733398,0.3538666367530823,0.19194817543029785,0.1040428876876831,0.2028113305568695,0.054968345910310745,0.28617799282073975,99.16588592529297,3.009016513824463
Fee Prod Loesoe,kankan,pluggnb,0.49653393030166626,0.3218179941177368,3.969749689102173,-6.30948543548584,0.34966421127319336,0.1706155240535736,0.10866117477416992,0.19327160716056824,0.01766226813197136,0.3037213087081909,90.52455139160156,2.774232864379883
Fast,thouxanbanfauni,"atl hip hop, cloud rap, melodic rap, plugg, vapor trap",0.4560277462005615,0.2758713662624359,3.5377848148345947,-5.813590049743652,0.3354397416114807,0.13754059374332428,0.11611245572566986,0.19704699516296387,0.04345868527889252,0.26661205291748047,81.99592590332031,2.519324779510498
FEAR OR LUST <3 [prod. Mayhem Meech],lucki,plugg,0.536017119884491,0.3480495810508728,4.256680011749268,-7.291696548461914,0.43352970480918884,0.16699150204658508,0.1380166858434677,0.2425864189863205,0.038860682398080826,0.3081616759300232,100.1146469116211,3.058176040649414
